round,value,daily_double,category,answer,question,air_date,answer_length,answer_word_count,syllable_count,sentence_count,dale_chall_score,processed_answer
2,600,no,BUSINESS & INDUSTRY,This company owns the world's tallest building,Sears(-Roebuck),1984-09-13,46,7,10,1,0.35,"['thi', 'compani', 'world', 'tallest', 'build']"
2,800,no,BUSINESS & INDUSTRY,Piggly Wiggly stores were the first of these,supermarkets,1984-09-13,44,8,10,1,7.98,"['piggli', 'wiggli', 'store', 'first']"
1,100,no,RELIGION,Country that is home to Parsis & Sikhs,India,1984-09-14,38,8,10,1,6.24,"['countri', 'home', 'parsi', 'sikh']"
1,200,no,RELIGION,More common name for The Watchtower Bible & Tract Society,Jehovah's Witnesses,1984-09-14,57,10,15,1,9.35,"['common', 'name', 'watchtow', 'bibl', 'tract', 'societi']"
1,300,no,RELIGION,Some 3 million pilgrims visit this small French town annually,Lourdes,1984-09-14,61,10,16,1,7.29,"['3', 'million', 'pilgrim', 'visit', 'thi', 'small', 'french', 'town', 'annual']"
3,0,no,SCIENCE,The mammal that holds the record for the longest lifespan,man,1984-09-20,57,10,13,1,8.87,"['mammal', 'hold', 'record', 'longest', 'lifespan']"
1,100,no,SPORTS,What Gary Player plays professionailly,golf,1984-09-21,38,5,10,1,7.04,"['gari', 'player', 'play', 'professionailli']"
1,500,no,SPORTS,"Boxer whose life was portrayed in ""Somebody Up There Likes Me\""",Rocky Graziano,1984-09-21,63,11,14,1,5.62,"['boxer', 'whose', 'life', 'wa', 'portray', 'somebodi', 'like']"
2,200,no,LITERATURE,"Depending on the book, he could be a ""Jones"", a ""Sawyer"", or an ""Uncle\""",Tom,1984-09-21,72,14,17,1,5.46,"['depend', 'book', 'could', 'jone', 'sawyer', 'uncl']"
2,400,no,LITERATURE,"He wrote ""The 3 Musketeers""; his son wrote ""Camille\""",(Alexandre) Dumas,1984-09-21,53,9,11,1,5.84,"['wrote', '3', 'musket', 'hi', 'son', 'wrote', 'camil']"
2,600,no,LITERATURE,Where you can't go again in Thomas Wolfe title,home,1984-09-21,46,9,10,1,0.45,"['cant', 'go', 'thoma', 'wolf', 'titl']"
2,800,no,LITERATURE,Irving's bird-like hero chased by the Headless Horseman,Ichabod Crane,1984-09-21,55,8,12,1,9.95,"['irv', 'birdlik', 'hero', 'chase', 'headless', 'horseman']"
2,1000,no,LITERATURE,Shaw's scorched saint,St. Joan of Arc,1984-09-21,21,3,3,1,0.15,"['shaw', 'scorch', 'saint']"
2,200,no,U.S. HISTORY,"In '63, 200,000 Washington marchers heard him say, ""I have a dream\""","Martin Luther King, Jr.",1984-09-24,68,12,14,1,5.55,"['63', '200000', 'washington', 'marcher', 'heard', 'say', 'dream']"
2,400,no,U.S. HISTORY,The last occasion Congress declared war on any country,World War II,1984-09-24,54,9,14,1,9.35,"['last', 'occas', 'congress', 'declar', 'war', 'ani', 'countri']"
2,800,no,U.S. HISTORY,Only state carried by George McGovern in '72 election,Massachusetts,1984-09-24,53,9,14,1,9.35,"['onli', 'state', 'carri', 'georg', 'mcgovern', '72', 'elect']"
2,1000,no,U.S. HISTORY,"Justice Hugo Black, a leading supporter of school desegregation, was once member of this group",the KKK,1984-09-24,94,15,24,1,8.59,"['justic', 'hugo', 'black', 'lead', 'support', 'school', 'desegreg', 'wa', 'onc', 'member', 'thi', 'group']"
1,100,no,WORLD CAPITALS,Costa Rican capital people might know the way to,San Jose,1984-09-25,48,9,14,1,7.59,"['costa', 'rican', 'capit', 'peopl', 'might', 'know', 'way']"
1,200,no,WORLD CAPITALS,"It's divided into the Kanda, Marunoucki, Asakusa & Ginza districts",Tokyo,1984-09-25,66,10,17,1,12.86,"['divid', 'kanda', 'marunoucki', 'asakusa', 'ginza', 'district']"
1,300,no,WORLD CAPITALS,Home to NATO & little green sprouts,Brussels,1984-09-25,35,7,9,1,6.57,"['home', 'nato', 'littl', 'green', 'sprout']"
1,400,no,WORLD CAPITALS,"This capital's street signs are in English, Arabic & Hebrew",Jerusalem,1984-09-25,59,10,15,1,9.35,"['thi', 'capit', 'street', 'sign', 'english', 'arab', 'hebrew']"
1,500,no,WORLD CAPITALS,"If the other twin had founded it, it might have been called ""Reme\""",Rome,1984-09-25,67,13,15,1,5.5,"['twin', 'found', 'might', 'call', 'reme']"
1,100,no,SPORTS,"Sport which uses epees, foils & sabres",fencing,1984-09-25,38,7,8,1,6.57,"['sport', 'us', 'epe', 'foil', 'sabr']"
1,200,no,SPORTS,Name given to annual competition among U.S. amateur boxers,the Golden Gloves,1984-09-25,58,9,18,1,11.1,"['name', 'given', 'annual', 'competit', 'among', 'u', 'amateur', 'boxer']"
1,300,no,SPORTS,Number of downs allowed in Canadian football to advance the ball 10 yards,3,1984-09-25,73,13,19,1,7.93,"['number', 'allow', 'canadian', 'footbal', 'advanc', 'ball', '10', 'yard']"
1,300,yes,SPORTS,"Because of WWII, these 2 NFL teams combined squads in '43 to become the ""Stegles\""",the Steelers and Eagles,1984-09-25,82,15,19,1,6.49,"['becaus', 'wwii', '2', 'nfl', 'team', 'combin', 'squad', '43', 'becom', 'stegl']"
1,500,no,SPORTS,Ex-Boston Celtics' star who has refused induction into Basketball Hall of Fame,Bill Russell,1984-09-25,78,12,19,1,9.5,"['exboston', 'celtic', 'star', 'ha', 'refus', 'induct', 'basketbal', 'hall', 'fame']"
1,100,no,ISLANDS,"Owned by tiny Denmark, it's the world's largest island",Greenland,1984-09-26,54,9,11,1,5.84,"['tini', 'denmark', 'world', 'largest', 'island']"
1,200,no,ISLANDS,"New York's largest, it has more people than 41 of our 50 states",Long Island,1984-09-26,63,13,14,1,0.64,"['new', 'york', 'largest', 'ha', 'peopl', '41', '50', 'state']"
1,300,no,ISLANDS,"Until 1949 a Dutch colony, now the world's most populous island nation",Indonesia,1984-09-26,70,12,17,1,6.86,"['1949', 'dutch', 'coloni', 'world', 'popul', 'island', 'nation']"
1,400,no,ISLANDS,"Made up of over 7,000 islands, only Far East country with a Roman Catholic majority",the Philippines,1984-09-26,83,15,22,1,7.54,"['made', '7000', 'island', 'onli', 'far', 'east', 'countri', 'roman', 'cathol', 'major']"
1,100,no,SPORTS,"Game where ""dribbling"" is ""offensive\""",basketball,1984-09-27,38,5,8,1,10.2,"['game', 'dribbl', 'offens']"
1,200,no,SPORTS,From early practice of pitcher facing west comes this baseball term for lefty,southpaw,1984-09-27,77,13,18,1,5.5,"['earli', 'practic', 'pitcher', 'face', 'west', 'come', 'thi', 'basebal', 'term', 'lefti']"
1,300,no,SPORTS,Football's imaginary plane which neither team may cross until the ball is snapped,the line of scrimmage,1984-09-27,81,13,18,1,6.71,"['footbal', 'imaginari', 'plane', 'neither', 'team', 'may', 'cross', 'ball', 'snap']"
1,400,no,SPORTS,"World's fastest sport, free-fall speeds of 614 MPH have been recorded in this",skydiving,1984-09-27,77,13,14,1,5.5,"['world', 'fastest', 'sport', 'freefal', 'speed', '614', 'mph', 'record', 'thi']"
1,500,no,SPORTS,\'50s middleweight champ some say was pound-for-pound the best boxer ever,Sugar Ray Robinson,1984-09-27,73,11,16,1,5.62,"['50', 'middleweight', 'champ', 'say', 'wa', 'poundforpound', 'best', 'boxer', 'ever']"
3,0,no,BUSINESS & INDUSTRY,"Automaker that introduced the alternator, power steering & electric ignition",Chrysler,1984-09-27,76,10,22,1,12.86,"['automak', 'introduc', 'altern', 'power', 'steer', 'electr', 'ignit']"
1,100,no,U.S. HISTORY,"Planned under Eisenhower, invasion of this Caribbean island failed under Kennedy",Cuba,1984-09-28,80,11,20,1,8.49,"['plan', 'eisenhow', 'invas', 'thi', 'caribbean', 'island', 'fail', 'kennedi']"
1,300,no,U.S. HISTORY,"From 1836-45, this state was an independent country",Texas,1984-09-28,51,8,12,1,6.01,"['183645', 'thi', 'state', 'wa', 'independ', 'countri']"
1,400,no,U.S. HISTORY,"In '34, LA gov. known as ""Kingfish"" proposed guaranteed income of $5,000 per family",Huey Long,1984-09-28,83,14,21,1,7.71,"['34', 'la', 'gov', 'known', 'kingfish', 'propos', 'guarante', 'incom', '5000', 'per', 'famili']"
1,500,no,U.S. HISTORY,Many consider his appointment as Chief Justice in 1801 most important appointment in U.S. history,John Marshall,1984-09-28,97,15,26,1,7.54,"['mani', 'consid', 'hi', 'appoint', 'chief', 'justic', '1801', 'import', 'appoint', 'u', 'histori']"
2,200,no,LITERATURE,"She found things ""curiouser & curiouser"" in Wonderland",Alice,1984-09-28,54,8,16,1,8.5,"['found', 'thing', 'curious', 'curious', 'wonderland']"
2,1000,no,LITERATURE,"He gave us his cockeyed world in ""My world & Welcome to It\""",Thurber,1984-09-28,60,13,15,1,5.55,"['gave', 'u', 'hi', 'cockey', 'world', 'world', 'welcom']"
1,100,no,BODIES OF WATER,"Originally at Lewiston, NY, this falls has over the years moved 7 times upstream",Niagara Falls,1984-10-01,80,14,19,1,7.71,"['origin', 'lewiston', 'ny', 'thi', 'fall', 'ha', 'year', 'move', '7', 'time', 'upstream']"
1,200,no,BODIES OF WATER,"While Thatcher looks over Parliament, Parliament looks over this",the Thames,1984-10-01,64,9,14,1,7.59,"['thatcher', 'look', 'parliament', 'parliament', 'look', 'thi']"
1,300,no,BODIES OF WATER,The dam you need to make Lake Mead,Boulder/Hoover Dam,1984-10-01,34,8,8,1,0.4,"['dam', 'need', 'make', 'lake', 'mead']"
1,400,no,BODIES OF WATER,Only one of the 5 Great Lakes entirely in U.S.,Lake Michigan,1984-10-01,46,10,13,1,5.71,"['onli', 'one', '5', 'great', 'lake', 'entir', 'u']"
1,500,no,BODIES OF WATER,You can bet on the banks of this California-Nevada lake,Lake Tahoe,1984-10-01,55,10,15,1,7.29,"['bet', 'bank', 'thi', 'californianevada', 'lake']"
2,200,no,SPORTS,American golfers claim they hit 111 of them each day,holes-in-one,1984-10-01,52,10,12,1,0.5,"['american', 'golfer', 'claim', 'hit', '111', 'day']"
2,400,no,SPORTS,Earl Anthony & Don Carter are kingpins in this sport,bowling,1984-10-01,52,10,13,1,7.59,"['earl', 'anthoni', 'carter', 'kingpin', 'thi', 'sport']"
2,600,no,SPORTS,"Didn't float like a butterfly or sting like a bee, but he knocked out his teeth & Muhammad Ali",Leon Spinks,1984-10-01,94,19,23,1,5.41,"['didnt', 'float', 'like', 'butterfli', 'sting', 'like', 'bee', 'knock', 'hi', 'teeth', 'muhammad', 'ali']"
2,800,no,SPORTS,"Originally ""mintonette"", it was first played with a basketball & a rope stretched across court",volleyball,1984-10-01,94,15,20,1,6.59,"['origin', 'mintonett', 'wa', 'first', 'play', 'basketbal', 'rope', 'stretch', 'across', 'court']"
2,1000,no,SPORTS,"Didn't drink, smoke, or ""lift anything heavy"" and played hockey until 50",Gordie Howe,1984-10-01,72,12,16,1,5.55,"['didnt', 'drink', 'smoke', 'lift', 'anyth', 'heavi', 'play', 'hockey', '50']"
1,100,no,U.S. GEOGRAPHY,Much of this largest Louisiana city is below sea level,New Orleans,1984-10-04,54,10,15,1,5.71,"['much', 'thi', 'largest', 'louisiana', 'citi', 'sea', 'level']"
1,200,no,U.S. GEOGRAPHY,The leading dairy products state,Wisconsin,1984-10-04,32,5,7,1,10.2,"['lead', 'dairi', 'product', 'state']"
1,500,no,U.S. GEOGRAPHY,This state's coastline is 2nd in length to Alaska's,Florida,1984-10-04,51,9,10,1,5.84,"['thi', 'state', 'coastlin', '2nd', 'length', 'alaska']"
1,100,no,STATE CAPITALS,"Located 15 miles from its namesake, it was founded by Brigham Young",Salt Lake City,1984-10-05,67,12,16,1,8.18,"['locat', '15', 'mile', 'namesak', 'wa', 'found', 'brigham', 'young']"
1,200,no,STATE CAPITALS,"Freddie Cannon's ""Tallahassee Lassie"" would be from this state",Florida,1984-10-05,62,9,14,1,9.35,"['freddi', 'cannon', 'tallahasse', 'lassi', 'would', 'thi', 'state']"
1,300,no,STATE CAPITALS,Southwest capital named for mythological self-immolating bird,Phoenix,1984-10-05,61,7,17,1,10.75,"['southwest', 'capit', 'name', 'mytholog', 'selfimmol', 'bird']"
1,400,no,STATE CAPITALS,It was also capital of the Confederacy,"Montgomery (or Richmond, Virginia)",1984-10-05,38,7,14,1,6.24,"['wa', 'also', 'capit', 'confederaci']"
1,500,yes,STATE CAPITALS,Only state capital named for a biblical figure,"St. Paul, Minnesota",1984-10-05,46,8,14,1,6.01,"['onli', 'state', 'capit', 'name', 'biblic', 'figur']"
3,0,no,WORLD GEOGRAPHY,It has more people than all the other South American countries combined,Brazil,1984-10-05,71,12,18,1,6.86,"['ha', 'peopl', 'south', 'american', 'countri', 'combin']"
2,400,no,RELIGION,Eastern rite of Christianity or oldest branch of Judaism,Orthodox,1984-10-08,56,9,15,1,9.35,"['eastern', 'rite', 'christian', 'oldest', 'branch', 'judaism']"
2,600,no,RELIGION,Denomination Reverend Jesse Jackson is minister of,Baptist,1984-10-08,50,7,15,1,13.01,"['denomin', 'reverend', 'jess', 'jackson', 'minist']"
2,1000,yes,RELIGION,Mormons believe they're Amer. Indians; others say they're Japanese or Anglo-Saxons,the 10 lost tribes of Israel,1984-10-08,82,11,20,2,12.52,"['mormon', 'believ', 'theyr', 'amer', 'indian', 'say', 'theyr', 'japanes', 'anglosaxon']"
2,1000,no,RELIGION,Belief in a deity is not part of its 8-fold path to nirvana,Buddhism,1984-10-08,59,13,16,1,7.93,"['belief', 'deiti', 'part', '8fold', 'path', 'nirvana']"
2,200,no,ART,"A painting of inanimate objects, not people",a still life,1984-11-26,43,7,12,1,8.5,"['paint', 'inanim', 'object', 'peopl']"
2,200,no,U.S. GEOGRAPHY,"It's ""where the wind comes sweeping down the plain\""",Oklahoma,1984-11-26,52,9,10,1,5.84,"['wind', 'come', 'sweep', 'plain']"
2,400,no,U.S. GEOGRAPHY,"State whose counties include Crockett, Zapata & Pecos",Texas,1984-11-26,53,8,14,1,13.01,"['state', 'whose', 'counti', 'includ', 'crockett', 'zapata', 'peco']"
2,700,yes,U.S. GEOGRAPHY,"One of two states ending in ""T\""",(1 of) Connecticut and Vermont,1984-11-26,32,7,8,1,0.35,"['one', 'two', 'state', 'end']"
2,800,no,U.S. GEOGRAPHY,"Historic pass at junction of TN., KY., & VA., associated with Daniel Boone",the Cumberland Gap,1984-11-26,74,13,19,1,8.18,"['histor', 'pa', 'junction', 'tn', 'ky', 'va', 'associ', 'daniel', 'boon']"
2,1000,no,U.S. GEOGRAPHY,Mountain range that surrounds city of Atlanta,the Blue Ridge Mountains,1984-11-26,45,7,10,1,8.5,"['mountain', 'rang', 'surround', 'citi', 'atlanta']"
3,0,no,BUSINESS & INDUSTRY,Country that manufactures the most cars per year,Japan,1984-11-26,48,8,12,1,6.01,"['countri', 'manufactur', 'car', 'per', 'year']"
2,200,no,SCIENCE,Fahrenheit equivalent to 0º Centigrade,32,1984-11-28,38,5,9,1,13.36,"['fahrenheit', 'equival', '0', 'centigrad']"
2,400,no,SCIENCE,You might have to put F. Lee Bailey on one to admit he had a show about one,a lie detector,1984-11-28,75,18,20,2,5.84,"['might', 'put', 'f', 'lee', 'bailey', 'one', 'admit', 'show', 'one']"
2,600,no,SCIENCE,The science which deals with the motion & behavior of bullets,ballistics,1984-11-28,61,11,16,1,10.45,"['scienc', 'deal', 'motion', 'behavior', 'bullet']"
2,800,no,SCIENCE,"What you're ""stuck with"" boiling down collagen, softening it with hot water & letting it swell",glue,1984-11-28,94,16,23,1,7.54,"['stuck', 'boil', 'collagen', 'soften', 'hot', 'water', 'let', 'swell']"
2,1000,no,SCIENCE,"In 1808, this metalsmith made copper plates for a Fulton steamboat boiler",Paul Revere,1984-11-28,73,12,18,1,6.86,"['1808', 'thi', 'metalsmith', 'made', 'copper', 'plate', 'fulton', 'steamboat', 'boiler']"
2,200,no,U.S. HISTORY,"19th century flag nicknamed ""Stars & Bars\""",the Confederate flag,1984-11-28,43,7,10,1,9.2,"['19th', 'centuri', 'flag', 'nicknam', 'star', 'bar']"
2,400,no,U.S. HISTORY,"Its full name is ""Liberty Enlightening the World\""",the Statue of Liberty,1984-11-28,50,8,13,1,6.01,"['full', 'name', 'liberti', 'enlighten', 'world']"
2,600,no,U.S. HISTORY,This popular tourist destination was annexed in 1889 due to pressure from sugar planters,Hawaii,1984-11-28,88,14,22,1,8.84,"['thi', 'popular', 'tourist', 'destin', 'wa', 'annex', '1889', 'due', 'pressur', 'sugar', 'planter']"
2,800,no,U.S. HISTORY,"It was his partner, James Marshall, who actually discovered gold at his California mill in 1849",Sutter,1984-11-28,95,16,26,1,8.38,"['wa', 'hi', 'partner', 'jame', 'marshal', 'actual', 'discov', 'gold', 'hi', 'california', 'mill', '1849']"
2,1000,no,U.S. HISTORY,"In return for Missouri's admittance as a slave state, this N.E. state was brought in as a free state",Maine,1984-11-28,100,19,23,1,6.24,"['return', 'missouri', 'admitt', 'slave', 'state', 'thi', 'ne', 'state', 'wa', 'brought', 'free', 'state']"
1,100,no,SCIENCE,A sound's repetition by reflection,an echo,1984-11-29,34,5,10,1,10.2,"['sound', 'repetit', 'reflect']"
1,200,no,SCIENCE,"He originated ""The Origin of Species\""",Charles Darwin,1984-11-29,38,6,10,1,9.2,"['origin', 'origin', 'speci']"
1,300,no,SCIENCE,"Singular form of the word ""bacteria\""",bacterium,1984-11-29,37,6,10,1,9.2,"['singular', 'form', 'word', 'bacteria']"
1,400,no,SCIENCE,Negative particle that orbits an atom's nucleus,an electron,1984-11-29,47,7,14,1,13.01,"['neg', 'particl', 'orbit', 'atom', 'nucleu']"
1,500,no,SCIENCE,Cytology is the study of these biological building blocks,cells,1984-11-29,57,9,17,1,7.59,"['cytolog', 'studi', 'biolog', 'build', 'block']"
1,100,no,U.S. HISTORY,"Some 30 years before his cousin's New Deal, he gave us a ""Square Deal\""",Theodore Roosevelt,1984-12-03,71,14,15,1,0.69,"['30', 'year', 'befor', 'hi', 'cousin', 'new', 'deal', 'gave', 'u', 'squar', 'deal']"
1,200,no,U.S. HISTORY,In 1870s cartoonist Thomas Nast gave Democrats & GOP these symbols,the donkey and the elephant,1984-12-03,66,11,14,1,7.29,"['1870', 'cartoonist', 'thoma', 'nast', 'gave', 'democrat', 'gop', 'symbol']"
1,300,no,U.S. HISTORY,Pres. Wilson founded this world organization which America never joined,the League of Nations,1984-12-03,71,10,19,1,8.87,"['pre', 'wilson', 'found', 'thi', 'world', 'organ', 'america', 'never', 'join']"
1,400,no,U.S. HISTORY,The Spanish-American War led to this Caribbean country's independence,Cuba,1984-12-03,69,9,18,1,11.1,"['spanishamerican', 'war', 'led', 'thi', 'caribbean', 'countri', 'independ']"
1,500,no,U.S. HISTORY,He was the first American in space,Alan Shepard,1984-12-03,34,7,9,1,0.35,"['wa', 'first', 'american', 'space']"
1,100,no,SPORTS,Nickname for a football,a pigskin,1984-12-03,23,4,6,1,7.78,"['nicknam', 'footbal']"
1,200,no,SPORTS,A filly becomes a mare at this age,4,1984-12-03,34,8,10,1,7.98,"['filli', 'becom', 'mare', 'thi', 'age']"
1,300,no,SPORTS,"According to rules, the strike zone in baseball extends from the batter's knees to here",his armpits,1984-12-03,87,15,20,1,7.54,"['accord', 'rule', 'strike', 'zone', 'basebal', 'extend', 'batter', 'knee']"
1,400,no,SPORTS,This bowl game changes location every year,the Super Bowl,1984-12-03,42,7,10,1,6.24,"['thi', 'bowl', 'game', 'chang', 'locat', 'everi', 'year']"
1,500,no,SPORTS,The number of laps run in the Indy 500,200,1984-12-03,38,9,11,1,5.84,"['number', 'lap', 'run', 'indi', '500']"
2,200,no,WORLD GEOGRAPHY,"This canal's official opening was on July 12, 1920",the Panama Canal,1984-12-03,50,9,13,1,7.59,"['thi', 'canal', 'offici', 'open', 'wa', 'juli', '12', '1920']"
2,400,no,WORLD GEOGRAPHY,"Africa's northernmost country, it was once site of ancient Carthaginian empire",Tunisia,1984-12-03,78,11,18,1,11.36,"['africa', 'northernmost', 'countri', 'wa', 'onc', 'site', 'ancient', 'carthaginian', 'empir']"
2,600,no,WORLD GEOGRAPHY,Country that's larger than U.S. but smaller than Canada,(People's Republic of) China,1984-12-03,55,9,13,1,9.35,"['countri', 'larger', 'u', 'smaller', 'canada']"
2,800,no,WORLD GEOGRAPHY,"To evade French defenders, the Germans attacked France through this country in both World Wars",Belgium,1984-12-03,94,15,20,1,7.54,"['evad', 'french', 'defend', 'german', 'attack', 'franc', 'thi', 'countri', 'world', 'war']"
2,1000,no,WORLD GEOGRAPHY,"The Blue & White Niles meet at this city where Gen. ""Chinese"" Gordon met death",Khartoum,1984-12-03,78,15,17,1,6.59,"['blue', 'white', 'nile', 'meet', 'thi', 'citi', 'gen', 'chines', 'gordon', 'met', 'death']"
1,200,no,SPORTS,"Tennis serve that touches net before dropping into proper court, it's replayed",a let ball,1984-12-04,78,12,19,1,8.18,"['tenni', 'serv', 'touch', 'net', 'befor', 'drop', 'proper', 'court', 'replay']"
